,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
89,18.948500633239746,0.3257416922785582,0.27478623390197754,0.010811245979689191,400,5,4,auto,90,False,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",-13.979819945363193,-14.25808596306426,-14.287634037061485,-14.175179981829645,0.13866609788833706,80
26,66.92421944936116,1.7450351572293838,0.9921313921610514,0.03398430367288935,1400,5,4,auto,30,False,"{'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': False}",-13.980760473565445,-14.257985539499925,-14.286829089024794,-14.175191700696722,0.1379869900875415,81
35,66.58612132072449,1.8050256012436963,0.9424252510070801,0.0012737779993086556,1400,5,4,auto,80,False,"{'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': False}",-13.980760473565445,-14.257985539499925,-14.286829089024794,-14.175191700696722,0.1379869900875415,81
94,37.965052366256714,1.2262758900106032,0.547539234161377,0.015542134476145197,800,5,4,auto,90,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",-13.980493870464844,-14.258271349431428,-14.286928430578666,-14.175231216824978,0.13819619537818995,83
72,37.98960860570272,0.899566639902982,0.5374067624409994,0.008333917696629483,800,5,4,auto,60,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",-13.980493870464844,-14.258271349431428,-14.286928430578666,-14.175231216824978,0.13819619537818995,83
75,95.21081463495891,2.319681346477535,1.3889821370442708,0.032843371010857686,2000,2,4,auto,110,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': False}",-13.980805077605739,-14.258189702606106,-14.287049559697662,-14.175348113303171,0.13806633041552882,85
47,75.9048638343811,2.2317016796212914,1.078976074854533,0.02011343565480422,1600,2,4,auto,50,False,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",-13.980952107890568,-14.258100318051957,-14.286992813462208,-14.17534841313491,0.1379640936191893,86
83,76.35961763064067,2.349253834664216,1.1079161167144775,0.026717413432477084,1600,2,4,auto,110,False,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': False}",-13.980952107890568,-14.258100318051957,-14.286992813462208,-14.17534841313491,0.1379640936191893,86
0,75.9408193429311,2.0378198460835093,1.1127914587656658,0.06447789073851733,1600,2,4,auto,40,False,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 40, 'bootstrap': False}",-13.980952107890568,-14.258100318051957,-14.286992813462208,-14.17534841313491,0.1379640936191893,86
54,85.64880418777466,2.53457700048554,1.2120829423268635,0.006858719458358276,1800,2,4,auto,50,False,"{'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",-13.980980615394293,-14.258170714988687,-14.28696771670037,-14.175373015694452,0.13795801486379392,89
40,85.4103455543518,2.615025812332208,1.209230105082194,0.014342571102435999,1800,2,4,auto,30,False,"{'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': False}",-13.980980615394293,-14.258170714988687,-14.28696771670037,-14.175373015694452,0.13795801486379392,89
92,86.78187998135884,2.4161516130637044,1.2587428092956543,0.043539980183907236,1800,5,4,auto,50,False,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",-13.980980615394293,-14.258170714988687,-14.28696771670037,-14.175373015694452,0.13795801486379392,89
58,9.57706650098165,0.23120415301461572,0.1391757329305013,0.0006946790901279265,200,5,4,auto,70,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",-13.981803415044181,-14.258025009803642,-14.286774046350638,-14.175534157066153,0.13749018650769998,92
16,9.513383547465006,0.2172282826152401,0.13786943753560385,0.006683646532608689,200,2,4,auto,,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}",-13.981803415044181,-14.258025009803642,-14.286774046350638,-14.175534157066153,0.13749018650769998,92
2,88.43762453397115,3.284324517712082,1.2923569679260254,0.008240843332545718,1800,10,2,auto,90,False,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",-14.0887285256535,-14.693127987502999,-14.609152128443615,-14.463669547200036,0.26733071086198473,94
36,98.35074973106384,3.569356251683196,1.4033652146657307,0.052715363232606144,2000,10,2,auto,100,False,"{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': False}",-14.089205954987309,-14.693069964259655,-14.60940842891369,-14.463894782720217,0.26713741949916264,95
21,50.436274687449135,1.6778920421267607,0.7132155895233154,0.016754808393575314,1000,10,1,auto,50,False,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",-14.238182661043371,-15.161508116024157,-14.708711330628047,-14.702800702565192,0.3769692079352033,96
18,55.65123065312704,1.8391043443550004,0.8647070725758871,0.04545220363927975,1000,2,2,auto,50,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",-14.884776712409124,-15.32343322777389,-15.253749387894814,-15.153986442692608,0.19247401304168024,97
85,11.28721570968628,0.2996004996936591,0.16356952985127768,0.002247734466525343,200,5,1,auto,100,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': False}",-14.795334491555243,-15.683476498357965,-15.429004114109713,-15.302605034674306,0.37343593964112964,98
73,67.59417231877644,1.7065623962139043,0.9787495930989584,0.007500112460288096,1200,5,1,auto,60,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",-14.797917420081044,-15.68331289340448,-15.426725911394671,-15.302652074960065,0.37195611184753957,99
55,22.62593404452006,0.6376258600816623,0.3216710885365804,0.001358477602443708,400,5,1,auto,110,False,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': False}",-14.79875368969427,-15.67992756226053,-15.429888268798276,-15.302856506917692,0.370782640566518,100
